@relation GenesfromEnsembl

@attribute start numeric
@attribute end numeric
@attribute strand numeric
@attribute version numeric
@attribute transcript numeric

@data
133218312,133236095,-1,6,2
47801243,47819051,-1,8,3
74852871,74871940,-1,12,3
53954834,53958956,1,3,1
176077472,176083913,-1,4,1
120010718,120015544,-1,2,2
28364268,28365244,-1,5,2
8133772,8134849,-1,5,1
155433178,155434262,1,4,1
26558337,26561052,1,1,1
120109053,120115937,-1,4,1
176104216,176109754,1,12,3
75694434,75700152,-1,2,2
10171590,10172725,-1,1,1
59655602,59656336,1,1,1
31249879,31250987,1,3,1
61600067,61600843,-1,2,1
15784959,15829984,1,10,6
27672875,27746060,-1,13,2
31318495,31529814,1,21,25
19148576,19150283,-1,2,1
120158561,120165630,1,5,1
133237404,133241929,1,7,1
99788564,99789410,-1,2,1
35222174,35222746,1,1,1
222452400,222453126,-1,4,1
100175178,100176054,1,3,2
43407665,43408559,-1,3,1
65772741,65773632,-1,4,1
42747544,42748687,-1,1,1
